state,year,state_po,county_name,county_fips,LIBERTARIAN,GREEN,OTHER,DEMOCRAT,REPUBLICAN,total_votes
ALABAMA,2000,AL,AUTAUGA,1001,0,160,113,4942,11993,17208
ALABAMA,2000,AL,BALDWIN,1003,0,1033,578,13997,40872,56480
ALABAMA,2000,AL,BARBOUR,1005,0,46,65,5188,5096,10395
ALABAMA,2000,AL,BIBB,1007,0,52,66,2710,4273,7101
ALABAMA,2000,AL,BLOUNT,1009,0,154,175,4977,12667,17973
ALABAMA,2000,AL,BULLOCK,1011,0,24,52,3395,1433,4904
ALABAMA,2000,AL,BUTLER,1013,0,36,34,3606,4127,7803
ALABAMA,2000,AL,CALHOUN,1015,0,481,341,15781,22306,38909
ALABAMA,2000,AL,CHAMBERS,1017,0,95,86,5616,6037,11834
ALABAMA,2000,AL,CHEROKEE,1019,0,77,95,3497,4154,7823
ALABAMA,2000,AL,CHILTON,1021,0,92,128,4806,10066,15092
ALABAMA,2000,AL,CHOCTAW,1023,0,33,34,3707,3600,7374
ALABAMA,2000,AL,CLARKE,1025,0,33,52,4679,5988,10752
ALABAMA,2000,AL,CLAY,1027,0,52,67,2045,3719,5883
ALABAMA,2000,AL,CLEBURNE,1029,0,39,56,1664,3333,5092
ALABAMA,2000,AL,COFFEE,1031,0,155,121,5220,9938,15434
ALABAMA,2000,AL,COLBERT,1033,0,208,263,10543,10518,21532
ALABAMA,2000,AL,CONECUH,1035,0,35,34,2783,2699,5551
ALABAMA,2000,AL,COOSA,1037,0,34,47,2104,2382,4567
ALABAMA,2000,AL,COVINGTON,1039,0,123,89,4440,8961,13613
ALABAMA,2000,AL,CRENSHAW,1041,0,40,28,1934,2793,4795
ALABAMA,2000,AL,CULLMAN,1043,0,282,328,9758,19157,29525
ALABAMA,2000,AL,DALE,1045,0,188,119,4906,10593,15806
ALABAMA,2000,AL,DALLAS,1047,0,63,74,10967,7360,18464
ALABAMA,2000,AL,DEKALB,1049,0,175,227,7056,12827,20285
ALABAMA,2000,AL,ELMORE,1051,0,212,163,6652,16777,23804
ALABAMA,2000,AL,ESCAMBIA,1053,0,78,84,4523,6975,11660
ALABAMA,2000,AL,ETOWAH,1055,0,435,393,17433,21087,39348
ALABAMA,2000,AL,FAYETTE,1057,0,60,102,3064,4582,7808
ALABAMA,2000,AL,FRANKLIN,1059,0,72,119,4793,6119,11103
ALABAMA,2000,AL,GENEVA,1061,0,97,105,2769,6588,9559
ALABAMA,2000,AL,GREENE,1063,0,24,18,3504,850,4396
ALABAMA,2000,AL,HALE,1065,0,43,52,4652,2984,7731
ALABAMA,2000,AL,HENRY,1067,0,48,48,2782,4054,6932
ALABAMA,2000,AL,HOUSTON,1069,0,257,238,9412,22150,32057
ALABAMA,2000,AL,JACKSON,1071,0,184,181,9066,8475,17906
ALABAMA,2000,AL,JEFFERSON,1073,0,3393,1990,129889,138491,273763
ALABAMA,2000,AL,LAMAR,1075,0,57,69,2653,4470,7249
ALABAMA,2000,AL,LAUDERDALE,1077,0,354,430,13875,17478,32137
ALABAMA,2000,AL,LAWRENCE,1079,0,63,155,6296,5671,12185
ALABAMA,2000,AL,LEE,1081,0,895,362,14574,22433,38264
ALABAMA,2000,AL,LIMESTONE,1083,0,193,245,8992,14204,23634
ALABAMA,2000,AL,LOWNDES,1085,0,18,30,4557,1638,6243
ALABAMA,2000,AL,MACON,1087,0,31,44,7665,1091,8831
ALABAMA,2000,AL,MADISON,1089,0,1885,1083,48199,62151,113318
ALABAMA,2000,AL,MARENGO,1091,0,40,37,4841,4690,9608
ALABAMA,2000,AL,MARION,1093,0,125,121,4600,6910,11756
ALABAMA,2000,AL,MARSHALL,1095,0,256,268,10381,17084,27989
ALABAMA,2000,AL,MOBILE,1097,0,1585,1358,58640,78162,139745
ALABAMA,2000,AL,MONROE,1099,0,25,32,3741,5153,8951
ALABAMA,2000,AL,MONTGOMERY,1101,0,677,453,40371,38827,80328
ALABAMA,2000,AL,MORGAN,1103,0,450,397,16060,25774,42681
ALABAMA,2000,AL,PERRY,1105,0,18,17,4020,1732,5787
ALABAMA,2000,AL,PICKENS,1107,0,39,52,4143,4306,8540
ALABAMA,2000,AL,PIKE,1109,0,75,54,4357,6058,10544
ALABAMA,2000,AL,RANDOLPH,1111,0,60,99,3094,4666,7919
ALABAMA,2000,AL,RUSSELL,1113,0,109,72,8396,6198,14775
ALABAMA,2000,AL,ST. CLAIR,1115,0,221,267,6485,17117,24090
ALABAMA,2000,AL,SHELBY,1117,0,812,482,13183,47651,62128
ALABAMA,2000,AL,SUMTER,1119,0,20,24,4415,1629,6088
ALABAMA,2000,AL,TALLADEGA,1121,0,184,196,11264,13807,25451
ALABAMA,2000,AL,TALLAPOOSA,1123,0,153,112,6183,9805,16253
ALABAMA,2000,AL,TUSCALOOSA,1125,0,1007,490,24614,34003,60114
ALABAMA,2000,AL,WALKER,1127,0,264,270,11621,13486,25641
ALABAMA,2000,AL,WASHINGTON,1129,0,26,67,3386,4117,7596
ALABAMA,2000,AL,WILCOX,1131,0,6,15,3444,1661,5126
ALABAMA,2000,AL,WINSTON,1133,0,88,125,2692,6413,9318
ALASKA,2000,AK,DISTRICT 1,2001,0,475,216,1284,4681,6656
